source;destination;local_departure_time;local_arrival_time
NQN;AEP;2016-10-10 21:20:00;2016-10-10 22:57:00
EZE;ASU;2016-08-19 08:10:00;2016-08-19 09:05:00
PMW;BSB;2016-11-07 04:05:00;2016-11-07 06:20:00
PVG;WEF;2017-02-04 13:30:00;2017-02-04 14:55:00
IST;BEG;2017-05-18 16:30:00;2017-05-18 17:10:00
MYY;SBW;2016-05-13 18:15:00;2016-05-13 19:10:00
TGG;SZB;2016-10-31 11:05:00;2016-10-31 12:05:00
MNL;LAO;2017-06-24 11:15:00;2017-06-24 12:15:00
LXA;CTU;2016-11-21 11:00:00;2016-11-22 12:50:00
KWE;KMG;2016-11-18 10:25:00;2016-11-18 11:30:00
GYE;BOG;2016-04-01 04:54:00;2016-04-01 06:44:00
MUC;LYS;2016-04-06 15:10:00;2016-04-06 16:30:00
FRA;DUB;2016-03-15 22:15:00;2016-04-04 23:30:00
BJX;MTY;2016-03-21 08:45:00;2016-03-21 10:00:00
VVI;TJA;2016-03-23 19:00:00;2016-03-23 21:55:00
TRD;BCN;2016-04-16 17:45:00;2016-04-16 21:30:00
TRF;BGO;2016-12-27 09:45:00;2016-12-27 10:40:00
VIX;GIG;2016-06-29 10:30:00;2016-06-29 11:40:00
BIQ;ORY;2016-10-05 11:05:00;2016-10-05 12:25:00
GRU;AEP;2016-11-05 09:10:00;2016-11-05 10:00:00
PVG;HKT;2016-12-23 20:15:00;2016-12-24 00:55:00
CAN;NAO;2016-09-28 17:45:00;2016-09-28 20:05:00
LKO;DEL;2016-12-24 09:20:00;2016-12-24 10:35:00
CJU;GMP;2016-11-03 13:45:00;2016-11-03 14:50:00
HAK;HGH;2016-08-09 19:40:00;2016-08-09 22:15:00
BJW;LBJ;2017-01-08 10:45:00;2017-01-08 11:25:00
EXT;GCI;2016-10-24 07:10:00;2016-10-24 07:50:00
SZX;DYG;2016-06-17 22:10:00;2016-06-17 23:55:00
AMD;BOM;2016-11-04 21:30:00;2016-11-04 22:45:00
MDE;BOG;2016-07-04 06:30:00;2016-07-04 07:27:00
HEL;BUD;2017-03-07 17:10:00;2017-03-07 18:30:00
BOG;UIB;2016-08-28 18:16:00;2016-08-28 19:36:00
MAD;BCN;2016-11-26 15:50:00;2016-11-26 17:10:00
DEL;MAA;2016-11-11 20:55:00;2016-11-11 23:45:00
LPB;CBB;2017-02-26 13:55:00;2017-02-26 14:30:00
DUS;FCO;2016-12-30 10:45:00;2016-12-30 12:55:00
PRG;OTP;2016-07-01 09:45:00;2016-07-01 12:35:00
GIG;BEL;2017-02-16 12:10:00;2017-02-16 14:35:00
CDG;MUC;2016-11-07 13:05:00;2016-11-07 14:40:00
BHO;BOM;2016-09-20 08:00:00;2016-09-20 09:25:00
BKK;DAC;2016-09-28 09:05:00;2016-09-28 10:00:00
PER;MEL;2016-11-25 23:40:00;2016-11-26 06:15:00
PEK;FUG;2016-10-13 18:10:00;2016-10-13 20:10:00
TFS;BRU;2016-09-05 10:40:00;2016-09-05 16:30:00
